statReviewAvailable,PPAReviewAvailable,Name,appType,PPAReviewLink,Company,reviewAvailable,marketStat,appNo,approvDate,reviewPageLink,sumReviewAvailable,PatientPopulationAltered,medReviewAvailable
-,False,CYTOMEL,NDA,-,KING PHARMS R AND D,False,Prescription,10379,1956-05-08,-,-,False,-
-,-,CYTARABINE,ANDA,-,MYLAN PHARMS INC,-,Prescription,200916,2011-12-13,-,-,-,-
-,-,CYTARABINE,ANDA,-,MYLAN PHARMS INC,-,Prescription,200915,2011-12-13,-,-,-,-
-,-,CYTARABINE,ANDA,-,MYLAN LABS LTD,-,Prescription,200914,2011-12-13,-,-,-,-
-,-,CYTARABINE,ANDA,-,FRESENIUS KABI USA,-,Prescription,76512,2004-01-15,-,-,-,-
-,-,CYTARABINE,ANDA,-,HOSPIRA,-,Prescription,75383,1999-11-22,-,-,-,-
-,-,CYTARABINE,ANDA,-,WEST-WARD PHARMS INT,-,Prescription,74245,1994-08-31,-,-,-,-
-,-,CYTARABINE,ANDA,-,HOSPIRA,-,Prescription,72945,1994-02-28,-,-,-,-
-,-,CYTARABINE,ANDA,-,HOSPIRA,-,Prescription,72168,1990-08-31,-,-,-,-
-,-,CYTARABINE,ANDA,-,HOSPIRA,-,Prescription,71868,1990-06-04,-,-,-,-
-,-,CYTARABINE,ANDA,-,WEST-WARD PHARMS INT,-,Prescription,71472,1989-08-02,-,-,-,-
-,-,CYTARABINE,ANDA,-,WEST-WARD PHARMS INT,-,Prescription,71471,1989-08-02,-,-,-,-
-,-,CYTADREN,NDA,-,NOVARTIS,-,Discontinued,18202,1980-10-29,-,-,-,-
True,False,CYSVIEW KIT,NDA,-,PHOTOCURE ASA,True,Prescription,22555,2010-05-28,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2010/022555_cysview_toc.cfm,True,False,True
-,False,CYSTOGRAFIN DILUTE,NDA,-,BRACCO,False,Prescription,10040,1955-08-02,-,-,False,-
-,False,CYSTOGRAFIN,NDA,-,BRACCO,False,Prescription,10040,1955-08-02,-,-,False,-
-,False,CYSTO-CONRAY II,NDA,-,LIEBEL-FLARSHEIM,False,Prescription,17057,1972-04-17,-,-,False,-
-,-,CYSTEINE HYDROCHLORIDE,NDA,-,HOSPIRA,-,Discontinued,19523,1986-10-22,-,-,-,-
-,False,CYSTO-CONRAY,NDA,-,LIEBEL-FLARSHEIM,False,Prescription,17057,1972-04-17,-,-,False,-
-,False,CYSTAGON,NDA,-,MYLAN,False,Prescription,20392,1994-08-15,-,-,False,-
True,False,CYSTARAN,NDA,-,SIGMA TAU,True,Prescription,200740,2012-10-02,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2012/200740_cystaran_toc.cfm,True,False,True
-,False,CYSTADANE,NDA,-,RARE DIS THERAP,False,Prescription,20576,1996-10-25,-,-,False,-
-,-,CYPROHEPTADINE HYDROCHLORIDE,-,-,-,-,Discontinued,85245,-,-,-,-,-
-,-,CYPROHEPTADINE HYDROCHLORIDE,-,-,-,-,Discontinued,86165,-,-,-,-,-
-,-,CYPROHEPTADINE HYDROCHLORIDE,-,-,-,-,Discontinued,86580,-,-,-,-,-
-,-,CYPROHEPTADINE HYDROCHLORIDE,-,-,-,-,Discontinued,86678,-,-,-,-,-
-,-,CYPROHEPTADINE HYDROCHLORIDE,-,-,-,-,Discontinued,86737,-,-,-,-,-
-,-,CYPROHEPTADINE HYDROCHLORIDE,-,-,-,-,Discontinued,86808,-,-,-,-,-
-,-,CYPROHEPTADINE HYDROCHLORIDE,-,-,-,-,Discontinued,86833,-,-,-,-,-
-,-,CYPROHEPTADINE HYDROCHLORIDE,-,-,-,-,Discontinued,87001,-,-,-,-,-
-,-,CYPROHEPTADINE HYDROCHLORIDE,-,-,-,-,Discontinued,87284,-,-,-,-,-
-,-,CYPROHEPTADINE HYDROCHLORIDE,-,-,-,-,Discontinued,87405,-,-,-,-,-
-,-,CYPROHEPTADINE HYDROCHLORIDE,-,-,-,-,Discontinued,87566,-,-,-,-,-
-,-,CYPROHEPTADINE HYDROCHLORIDE,-,-,-,-,Discontinued,87685,-,-,-,-,-
-,-,CYPROHEPTADINE HYDROCHLORIDE,-,-,-,-,Discontinued,87839,-,-,-,-,-
-,-,CYPROHEPTADINE HYDROCHLORIDE,-,-,-,-,Discontinued,88205,-,-,-,-,-
-,-,CYPROHEPTADINE HYDROCHLORIDE,-,-,-,-,Discontinued,88212,-,-,-,-,-
-,-,CYPROHEPTADINE HYDROCHLORIDE,-,-,-,-,Discontinued,88232,-,-,-,-,-
-,-,CYPROHEPTADINE HYDROCHLORIDE,-,-,-,-,Discontinued,88798,-,-,-,-,-
-,-,CYPROHEPTADINE HYDROCHLORIDE,-,-,-,-,Discontinued,89021,-,-,-,-,-
-,-,CYPROHEPTADINE HYDROCHLORIDE,-,-,-,-,Discontinued,89057,-,-,-,-,-
-,-,CYPROHEPTADINE HYDROCHLORIDE,-,-,-,-,Discontinued,89199,-,-,-,-,-
True,False,CYRAMZA,BLA,-,ELI LILLY AND CO,True,Prescription,125477,2014-04-21,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2014/125477Orig1s000TOC.cfm,True,False,True
-,-,CYPROHEPTADINE HYDROCHLORIDE,ANDA,-,INGENUS PHARMS NJ,-,Prescription,205087,2015-09-23,-,-,-,-
-,-,CYPROHEPTADINE HYDROCHLORIDE,ANDA,-,PHARM ASSOC,-,Prescription,91295,2013-03-28,-,-,-,-
-,-,CYPROHEPTADINE HYDROCHLORIDE,ANDA,-,PAR PHARM,-,Prescription,87129,1981-07-09,-,-,-,-
-,-,CYPROHEPTADINE HYDROCHLORIDE,ANDA,-,IVAX SUB TEVA PHARMS,-,Prescription,87056,1980-01-10,-,-,-,-
-,-,CYPROHEPTADINE HYDROCHLORIDE,ANDA,-,LYNE,-,Prescription,40668,2006-06-28,-,-,-,-
-,-,CYPROHEPTADINE HYDROCHLORIDE,ANDA,-,STASON PHARMS,-,Prescription,40644,2006-05-30,-,-,-,-
-,-,CYPROHEPTADINE HYDROCHLORIDE,ANDA,-,COREPHARMA,-,Prescription,40537,2003-09-30,-,-,-,-
-,-,CYONANZ,ANDA,-,AUROBINDO PHARMA LTD,-,Prescription,207055,2016-10-21,-,-,-,-
True,False,CYMBALTA,NDA,-,LILLY,True,Prescription,22516,2010-11-04,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2010/022516_cymbalta_tocEDT.cfm,True,False,True
True,False,CYMBALTA,NDA,-,LILLY,True,Prescription,22148,2008-06-13,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2008/022148_cymbalta_toc.cfm,True,False,True
True,False,CYMBALTA,NDA,-,LILLY,True,Prescription,21733,2004-09-03,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2004/021733s000_CymbaltaTOC.cfm,False,False,True
True,False,CYMBALTA,NDA,-,LILLY,True,Prescription,21427,2004-08-03,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2004/021427_s000_Cymbalta.cfm,False,True,True
-,-,CYLERT,-,-,-,-,Discontinued,16832,-,-,-,-,-
-,-,CYLERT,-,-,-,-,Discontinued,17703,-,-,-,-,-
-,-,CYKLOKAPRON,-,-,-,-,Discontinued,19280,-,-,-,-,-
-,-,CYCRIN,-,-,-,-,Discontinued,81239,-,-,-,-,-
-,-,CYCRIN,-,-,-,-,Discontinued,81240,-,-,-,-,-
-,-,CYCRIN,-,-,-,-,Discontinued,89386,-,-,-,-,-
-,-,CYCLOSPORINE,-,-,-,-,Discontinued,65167,-,-,-,-,-
-,False,CYKLOKAPRON,NDA,-,PHARMACIA AND UPJOHN,False,Prescription,19281,1986-12-30,-,-,False,-
-,-,CYCLOSPORINE,ANDA,-,LUITPOLD,-,Prescription,65151,2003-10-07,-,-,-,-
-,-,CYCLOSPORINE,ANDA,-,WOCKHARDT,-,Prescription,65133,2004-09-17,-,-,-,-
-,-,CYCLOSPORINE,ANDA,-,IVAX SUB TEVA PHARMS,-,Prescription,65110,2005-03-29,-,-,-,-
-,-,CYCLOSPORINE,ANDA,-,IVAX SUB TEVA PHARMS,-,Prescription,65078,2005-03-25,-,-,-,-
-,-,CYCLOSPORINE,ANDA,-,MAYNE PHARMA,-,Prescription,65054,2001-12-18,-,-,-,-
-,-,CYCLOSPORINE,ANDA,-,MAYNE PHARMA,-,Prescription,65044,2000-12-20,-,-,-,-
-,-,CYCLOSPORINE,ANDA,-,APOTEX,-,Prescription,65040,2002-05-09,-,-,-,-
-,-,CYCLOSPORINE,ANDA,-,ABBVIE,-,Prescription,65025,2000-03-03,-,-,-,-
-,-,CYCLOSPORINE,ANDA,-,SANDOZ,-,Prescription,65017,2000-01-13,-,-,-,-
-,-,CYCLOSPORINE,ANDA,-,WEST-WARD PHARMS INT,-,Prescription,65004,1999-10-29,-,-,-,-
-,-,CYCLOPHOSPHAMIDE,-,-,-,-,Discontinued,88371,-,-,-,-,-
-,-,CYCLOPHOSPHAMIDE,-,-,-,-,Discontinued,88372,-,-,-,-,-
-,-,CYCLOPHOSPHAMIDE,-,-,-,-,Discontinued,88373,-,-,-,-,-
-,-,CYCLOPHOSPHAMIDE,-,-,-,-,Discontinued,88374,-,-,-,-,-
-,-,CYCLOPHOSPHAMIDE,ANDA,-,JIANGSU HENGRUI MED,-,Prescription,204555,2014-10-31,-,-,-,-
True,False,CYCLOSET,NDA,-,VEROSCIENCE,True,Prescription,20866,2009-05-05,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2009/020866_cycloset_toc.cfm,True,False,True
-,-,CYCLOPHOSPHAMIDE,ANDA,-,BAXTER HLTHCARE,-,Prescription,40745,2008-05-21,-,-,-,-
False,False,CYCLOPHOSPHAMIDE,NDA,-,ROXANE,True,Prescription,203856,2013-09-16,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2013/203856Orig1s000TOC.cfm,True,False,True
-,-,CYCLOPHOSPHAMIDE,ANDA,-,ROXANE,-,Prescription,40032,1999-08-17,-,-,-,-
-,-,CYCLOPENTOLATE HYDROCHLORIDE,-,-,-,-,Discontinued,84150,-,-,-,-,-
-,-,CYCLOPENTOLATE HYDROCHLORIDE,-,-,-,-,Discontinued,84863,-,-,-,-,-
-,-,CYCLOPENTOLATE HYDROCHLORIDE,-,-,-,-,Discontinued,89162,-,-,-,-,-
-,-,CYCLOPAR,-,-,-,-,Discontinued,61725,-,-,-,-,-
-,-,CYCLOPAR,-,-,-,-,Discontinued,62175,-,-,-,-,-
-,-,CYCLOPAR,-,-,-,-,Discontinued,62332,-,-,-,-,-
-,-,CYCLOPENTOLATE HYDROCHLORIDE,ANDA,-,AKORN INC,-,Prescription,205937,2015-12-09,-,-,-,-
-,-,CYCLOMYDRIL,ANDA,-,ALCON,-,Prescription,84300,1975-09-12,-,-,-,-
-,-,CYCLOGYL,ANDA,-,ALCON,-,Prescription,84110,1974-07-31,-,-,-,-
-,-,CYCLOGYL,ANDA,-,ALCON,-,Prescription,84109,1974-07-31,-,-,-,-
-,-,CYCLOGYL,ANDA,-,ALCON LABS INC,-,Prescription,84108,1974-07-31,-,-,-,-
-,-,CYCLOCORT,-,-,-,-,Discontinued,18116,-,-,-,-,-
-,-,CYCLOCORT,-,-,-,-,Discontinued,18498,-,-,-,-,-
-,-,CYCLOCORT,-,-,-,-,Discontinued,19729,-,-,-,-,-
-,-,CYCLOBENZAPRINE HYDROCHLORIDE,-,-,-,-,Discontinued,72854,-,-,-,-,-
-,-,CYCLOBENZAPRINE HYDROCHLORIDE,-,-,-,-,Discontinued,73143,-,-,-,-,-
-,-,CYCLOBENZAPRINE HYDROCHLORIDE,-,-,-,-,Discontinued,73683,-,-,-,-,-
-,-,CYCLOBENZAPRINE HYDROCHLORIDE,-,-,-,-,Discontinued,74436,-,-,-,-,-
-,-,CYCLOBENZAPRINE HYDROCHLORIDE,-,-,-,-,Discontinued,77291,-,-,-,-,-
-,-,CYCLOBENZAPRINE HYDROCHLORIDE,ANDA,-,TWI PHARMS INC,-,Prescription,91281,2013-01-31,-,-,-,-
-,-,CYCLOBENZAPRINE HYDROCHLORIDE,ANDA,-,PAR PHARM INC,-,None (Tentative Approval),90864,-,-,-,-,-
-,-,CYCLOBENZAPRINE HYDROCHLORIDE,ANDA,-,INVAGEN PHARMS,-,Prescription,90478,2010-07-23,-,-,-,-
True,False,CYCLESSA,NDA,-,ASPEN GLOBAL INC,True,Prescription,21090,2000-12-20,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2000/21-090_Cyclessa.cfm,False,False,True
-,-,CYCLOBENZAPRINE HYDROCHLORIDE,ANDA,-,SUN PHARM INDS LTD,-,Prescription,78722,2008-05-12,-,-,-,-
-,-,CYCLOBENZAPRINE HYDROCHLORIDE,ANDA,-,AUROBINDO PHARMA,-,Prescription,78643,2008-09-26,-,-,-,-
-,-,CYCLOBENZAPRINE HYDROCHLORIDE,ANDA,-,ORIT LABS LLC,-,Prescription,78218,2015-06-19,-,-,-,-
-,-,CYCLOBENZAPRINE HYDROCHLORIDE,ANDA,-,KVK TECH,-,Prescription,78048,2011-02-28,-,-,-,-
-,-,CYCLOBENZAPRINE HYDROCHLORIDE,ANDA,-,VINTAGE PHARMS,-,Prescription,77797,2007-02-28,-,-,-,-
-,-,CYCLOBENZAPRINE HYDROCHLORIDE,ANDA,-,JUBILANT CADISTA,-,Prescription,77563,2006-04-19,-,-,-,-
-,-,CYCLOBENZAPRINE HYDROCHLORIDE,ANDA,-,OXFORD PHARMS,-,Prescription,77209,2005-10-04,-,-,-,-
-,-,CYCLOBENZAPRINE HYDROCHLORIDE,ANDA,-,PLIVA,-,Prescription,74421,1995-09-29,-,-,-,-
-,-,CYCLOBENZAPRINE HYDROCHLORIDE,ANDA,-,FRONTIDA BIOPHARM,-,Prescription,73541,1995-05-23,-,-,-,-
-,-,CYCLOBENZAPRINE HYDROCHLORIDE,ANDA,-,MYLAN PHARMS INC,-,Prescription,73144,1991-05-31,-,-,-,-
-,-,CYCLOBENZAPRINE HYDROCHLORIDE,ANDA,-,ACTAVIS LABS FL INC,-,Prescription,71611,1988-02-29,-,-,-,-
-,-,CYCLAPEN-W,-,-,-,-,Discontinued,50508,-,-,-,-,-
-,-,CYCLAPEN-W,-,-,-,-,Discontinued,50509,-,-,-,-,-
-,-,CYCLAINE,NDA,-,MERCK,-,Discontinued,8472,-,-,-,-,-
-,-,CYCLAFEM 7/7/7,ANDA,-,VINTAGE PHARMS LLC,-,Prescription,76338,2010-11-16,-,-,-,-
-,-,CYCLAFEM 1/35,ANDA,-,VINTAGE PHARMS LLC,-,Prescription,76337,2010-11-12,-,-,-,-
-,-,CYCLAFEM 0.5/35,ANDA,-,VINTAGE PHARMS,-,Prescription,203413,2015-12-16,-,-,-,-
-,-,CYCLACILLIN,ANDA,-,TEVA,-,Discontinued,62895,1988-05-04,-,-,-,-
-,-,CYANOCOBALAMIN CO 57 SCHILLING TEST KIT,NDA,-,MALLINCKRODT,-,Discontinued,16635,1968-06-21,-,-,-,-
True,False,CYANOKIT,NDA,-,SERB SA,True,Prescription,22041,2006-12-15,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2006/022041_cyanokit_toc.cfm,False,False,True
-,-,CYANOCOBALAMIN,-,-,-,-,Discontinued,7085,-,-,-,-,-
-,-,CYANOCOBALAMIN,-,-,-,-,Discontinued,40451,-,-,-,-,-
-,-,CYANOCOBALAMIN,-,-,-,-,Discontinued,80510,-,-,-,-,-
-,-,CYANOCOBALAMIN,-,-,-,-,Discontinued,80515,-,-,-,-,-
-,-,CYANOCOBALAMIN,-,-,-,-,Discontinued,80554,-,-,-,-,-
-,-,CYANOCOBALAMIN,-,-,-,-,Discontinued,80557,-,-,-,-,-
-,-,CYANOCOBALAMIN,-,-,-,-,Discontinued,80564,-,-,-,-,-
-,-,CYANOCOBALAMIN,-,-,-,-,Discontinued,80573,-,-,-,-,-
-,-,CYANOCOBALAMIN,-,-,-,-,Discontinued,80668,-,-,-,-,-
-,-,CYANOCOBALAMIN,-,-,-,-,Discontinued,80689,-,-,-,-,-
-,-,CYANOCOBALAMIN,-,-,-,-,Discontinued,83075,-,-,-,-,-
-,-,CYANOCOBALAMIN,-,-,-,-,Discontinued,83120,-,-,-,-,-
-,-,CYANOCOBALAMIN,-,-,-,-,Discontinued,84264,-,-,-,-,-
-,-,CYANOCOBALAMIN,-,-,-,-,Discontinued,87551,-,-,-,-,-
-,-,CYANOCOBALAMIN,-,-,-,-,Discontinued,87969,-,-,-,-,-
-,-,CYANOCOBALAMIN,ANDA,-,SOMERSET THERAPS LLC,-,Prescription,206503,2015-12-11,-,-,-,-
-,-,CYANOCOBALAMIN,ANDA,-,LUITPOLD,-,Prescription,80737,1972-04-26,-,-,-,-
-,-,CUTIVATE,-,-,-,-,Discontinued,19958,-,-,-,-,-
True,False,CUVPOSA,NDA,-,MERZ PHARMS,True,Prescription,22571,2010-07-28,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2010/022571s000_cuvposa_toc.cfm,True,False,True
-,False,CUTIVATE,NDA,-,FOUGERA PHARMS,False,Prescription,19957,1990-12-14,-,-,True,-
True,False,CUTIVATE,NDA,-,FOUGERA PHARMS,True,Prescription,21152,2005-03-31,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2005/021152s000TOC.cfm,False,False,True
-,-,CURRETAB,ANDA,-,SOLVAY,-,Discontinued,85686,-,-,-,-,-
True,False,CUROSURF,NDA,-,CHIESI USA INC,True,Prescription,20744,1999-11-18,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/20744_Curosurf.cfm,False,False,True
-,False,CUPRIMINE,NDA,-,ATON,False,Prescription,19853,1970-12-04,-,-,False,-
-,-,CUPRIC SULFATE,NDA,-,ABRAXIS PHARM,-,Discontinued,19350,1987-05-05,-,-,-,-
-,False,CUPRIC CHLORIDE IN PLASTIC CONTAINER,NDA,-,HOSPIRA,False,Prescription,18960,1986-06-26,-,-,False,-
-,-,CUBICIN RF,NDA,-,CUBIST PHARMS LLC,-,Discontinued,21572,2003-09-12,-,-,-,-
-,-,CUBICIN,NDA,-,CUBIST PHARMS LLC,-,Discontinued,21572,2003-09-12,-,-,-,-
-,-,CU-7,NDA,-,GD SEARLE LLC,-,Discontinued,17408,-,-,-,-,-
-,-,CRYSTODIGIN,ANDA,-,LILLY,-,Discontinued,84100,-,-,-,-,-
-,-,CRYSELLE,ANDA,-,DURAMED PHARMS BARR,-,Prescription,75840,2001-11-30,-,-,-,-
-,-,CROTAN,ANDA,-,MARNEL PHARMS,-,Prescription,87204,1981-12-16,-,-,-,-
-,-,CROMOPTIC,ANDA,-,KING PHARMS,-,Discontinued,75088,1999-04-27,-,-,-,-
-,-,CROMOLYN SODIUM,-,-,-,-,Discontinued,74800,-,-,-,-,-
-,-,CROMOLYN SODIUM,-,-,-,-,Discontinued,75067,-,-,-,-,-
-,-,CROMOLYN SODIUM,-,-,-,-,Discontinued,75175,-,-,-,-,-
-,-,CROMOLYN SODIUM,-,-,-,-,Discontinued,75333,-,-,-,-,-
-,-,CROMOLYN SODIUM,-,-,-,-,Discontinued,75437,-,-,-,-,-
-,-,CROMOLYN SODIUM,-,-,-,-,Discontinued,75615,-,-,-,-,-
-,-,CROMOLYN SODIUM,-,-,-,-,Discontinued,76469,-,-,-,-,-
-,-,CROMOLYN SODIUM,-,-,-,-,Discontinued,77976,-,-,-,-,-
-,-,CROMOLYN SODIUM,-,-,-,-,Discontinued,90954,-,-,-,-,-
-,-,CROMOLYN SODIUM,ANDA,-,MICRO LABS LTD INDIA,-,Prescription,202745,2013-04-04,-,-,-,-
-,-,CROLOM,ANDA,-,BAUSCH AND LOMB,-,Prescription,74443,1995-01-30,-,-,-,-
-,-,CROMOLYN SODIUM,ANDA,-,PACK PHARMS LLC,-,Prescription,202583,2011-10-27,-,-,-,-
-,-,CROMOLYN SODIUM,ANDA,-,BAUSCH AND LOMB,-,Over-the-counter,75702,2001-07-03,-,-,-,-
-,-,CROMOLYN SODIUM,ANDA,-,BAUSCH AND LOMB,-,Prescription,75585,2000-12-21,-,-,-,-
-,-,CROMOLYN SODIUM,ANDA,-,PERRIGO,-,Over-the-counter,75427,2001-12-12,-,-,-,-
-,-,CROMOLYN SODIUM,ANDA,-,WOCKHARDT,-,Prescription,75346,1999-10-25,-,-,-,-
-,-,CROMOLYN SODIUM,ANDA,-,ALCON,-,Prescription,75282,1999-06-16,-,-,-,-
-,-,CROMOLYN SODIUM,ANDA,-,TEVA PHARMS,-,Prescription,75271,2000-01-18,-,-,-,-
-,-,CROMOLYN SODIUM,ANDA,-,AKORN,-,Prescription,74706,1998-04-29,-,-,-,-
-,-,CROMOLYN SODIUM,ANDA,-,MYLAN SPECLT,-,Prescription,74209,1994-04-26,-,-,-,-
-,False,CRIXIVAN,NDA,-,MERCK SHARP DOHME,False,Prescription,20685,1996-03-13,-,-,False,-
True,False,CRINONE,NDA,-,COLUMBIA RES LABS,True,Prescription,20756,1997-05-13,http://www.accessdata.fda.gov/drugsatfda_docs/nda/97/020756_crinone_toc.cfm,False,False,False
True,False,CRINONE,NDA,-,ALLERGAN SALES LLC,True,Prescription,20701,1997-07-31,http://www.accessdata.fda.gov/drugsatfda_docs/nda/97/020701_crinone_toc.cfm,False,False,True
True,False,CRESTOR,NDA,-,IPR,True,Prescription,21366,2003-08-12,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2003/21-366_Crestor.cfm,False,True,True
True,False,CRESEMBA,NDA,-,ASTELLAS,True,Prescription,207501,2015-03-06,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2015/207500Orig1207501Orig1s000TOC.cfm,True,False,True
-,-,CRESCORMON,NDA,-,GENENTECH,-,Discontinued,17992,1979-04-06,-,-,-,-
True,False,CREON,NDA,-,ABBVIE,True,Prescription,20725,2009-04-30,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2009/020725_creon_toc.cfm,True,True,True
-,False,COZAAR,NDA,-,MERCK SHARP DOHME,False,Prescription,20386,1995-04-14,-,-,False,-
-,False,COVERA-HS,NDA,-,GD SEARLE LLC,False,Prescription,20552,1996-02-26,-,-,False,-
-,False,COUMADIN,NDA,-,BRISTOL MYERS SQUIBB,False,Prescription,9218,1954-06-08,-,-,False,-
-,-,COTRIM D.S.,ANDA,-,TEVA,-,Discontinued,70048,1985-03-18,-,-,-,-
-,-,COTRIM,ANDA,-,TEVA,-,Discontinued,70034,1985-05-16,-,-,-,-
-,-,COTAZYM,NDA,-,ORGANON USA INC,-,Discontinued,20580,1996-12-09,-,-,-,-
-,-,COSYNTROPIN,-,-,-,-,Discontinued,22028,-,-,-,-,-
True,False,COTELLIC,NDA,-,GENENTECH INC,True,Prescription,206192,2015-11-10,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2015/206192Orig1s000TOC.cfm,True,False,True
-,-,COSYNTROPIN,ANDA,-,SANDOZ,-,Prescription,202147,2012-06-29,-,-,-,-
-,-,COSYNTROPIN,ANDA,-,MYLAN INSTITUTIONAL,-,Prescription,90574,2009-12-23,-,-,-,-
True,False,COSOPT PF,NDA,-,OAK PHARMS INC,True,Prescription,202667,2012-02-01,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2012/202667_cosoptpf_toc.cfm,True,False,True
False,False,COSOPT,NDA,-,OAK PHARMS INC,True,Prescription,20869,1998-04-07,http://www.accessdata.fda.gov/drugsatfda_docs/nda/98/020869_cosopt_toc.cfm,False,False,True
-,False,COSMEGEN,NDA,-,RECORDATI RARE,False,Prescription,50682,1964-12-10,-,-,False,-
True,False,COSENTYX,BLA,-,NOVARTIS PHARMS CORP,True,Prescription,125504,2015-01-21,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2015/125504Orig1s000TOC.cfm,True,False,True
-,False,CORZIDE,NDA,-,KING PHARMS,False,Prescription,18647,1983-05-25,-,-,False,-
-,False,CORVERT,NDA,-,PHARMACIA AND UPJOHN,False,Prescription,20491,1995-12-28,-,-,False,-
-,False,CORTROSYN,NDA,-,AMPHASTAR PHARMS INC,False,Prescription,16750,1970-04-22,-,-,False,-
-,-,CORTROPHIN-ZINC,NDA,-,ANI PHARMS,-,Discontinued,9854,1955-07-29,-,-,-,-
-,-,CORTRIL,-,-,-,-,Discontinued,9127,-,-,-,-,-
-,-,CORTRIL,-,-,-,-,Discontinued,9164,-,-,-,-,-
-,-,CORTRIL,-,-,-,-,Discontinued,9176,-,-,-,-,-
-,-,CORTRIL,-,-,-,-,Discontinued,9796,-,-,-,-,-
-,-,CORTRIL,-,-,-,-,Discontinued,9127,-,-,-,-,-
-,-,CORTRIL,-,-,-,-,Discontinued,9164,-,-,-,-,-
-,-,CORTRIL,-,-,-,-,Discontinued,9176,-,-,-,-,-
-,-,CORTRIL,-,-,-,-,Discontinued,9796,-,-,-,-,-
-,-,CORTONE,-,-,-,-,Discontinued,7110,-,-,-,-,-
-,-,CORTONE,-,-,-,-,Discontinued,7750,-,-,-,-,-
-,-,CORTISPORIN,-,-,-,-,Discontinued,50169,-,-,-,-,-
-,-,CORTISPORIN,-,-,-,-,Discontinued,50416,-,-,-,-,-
-,-,CORTISPORIN,-,-,-,-,Discontinued,50169,-,-,-,-,-
-,-,CORTISPORIN,-,-,-,-,Discontinued,50416,-,-,-,-,-
-,False,CORTISPORIN,NDA,-,CASPER PHARMA LLC,False,Prescription,60613,1975-05-25,-,-,False,-
-,False,CORTISPORIN,NDA,-,CASPER PHARMA LLC,False,Prescription,60613,1975-05-25,-,-,False,-
-,False,CORTISPORIN,NDA,-,MONARCH PHARMS,False,Prescription,50479,1975-12-09,-,-,False,-
-,False,CORTISPORIN,NDA,-,MONARCH PHARMS,False,Prescription,50218,1963-04-16,-,-,False,-
-,False,CORTISPORIN,NDA,-,MONARCH PHARMS,False,Prescription,50168,1957-03-26,-,-,False,-
-,False,CORTISPORIN,NDA,-,MONARCH PHARMS,False,Prescription,50479,1975-12-09,-,-,False,-
-,False,CORTISPORIN,NDA,-,MONARCH PHARMS,False,Prescription,50218,1963-04-16,-,-,False,-
-,False,CORTISPORIN,NDA,-,MONARCH PHARMS,False,Prescription,50168,1957-03-26,-,-,False,-
-,-,CORTISPORIN,-,-,-,-,Discontinued,50169,-,-,-,-,-
-,-,CORTISPORIN,-,-,-,-,Discontinued,50416,-,-,-,-,-
-,-,CORTISONE ACETATE,-,-,-,-,Discontinued,8126,-,-,-,-,-
-,-,CORTISONE ACETATE,-,-,-,-,Discontinued,8284,-,-,-,-,-
-,-,CORTISONE ACETATE,-,-,-,-,Discontinued,9458,-,-,-,-,-
-,-,CORTISONE ACETATE,-,-,-,-,Discontinued,80333,-,-,-,-,-
-,-,CORTISONE ACETATE,-,-,-,-,Discontinued,80341,-,-,-,-,-
-,-,CORTISONE ACETATE,-,-,-,-,Discontinued,80493,-,-,-,-,-
-,-,CORTISONE ACETATE,-,-,-,-,Discontinued,80630,-,-,-,-,-
-,-,CORTISONE ACETATE,-,-,-,-,Discontinued,80694,-,-,-,-,-
-,-,CORTISONE ACETATE,-,-,-,-,Discontinued,80731,-,-,-,-,-
-,-,CORTISONE ACETATE,-,-,-,-,Discontinued,80836,-,-,-,-,-
-,-,CORTISONE ACETATE,-,-,-,-,Discontinued,83147,-,-,-,-,-
-,-,CORTISONE ACETATE,-,-,-,-,Discontinued,83471,-,-,-,-,-
-,-,CORTISONE ACETATE,-,-,-,-,Discontinued,83536,-,-,-,-,-
-,-,CORTISONE ACETATE,-,-,-,-,Discontinued,84246,-,-,-,-,-
-,-,CORTISONE ACETATE,-,-,-,-,Discontinued,85677,-,-,-,-,-
-,-,CORTISONE ACETATE,-,-,-,-,Discontinued,85736,-,-,-,-,-
-,-,CORTISONE ACETATE,-,-,-,-,Discontinued,85884,-,-,-,-,-
